country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,1.8,0.862,0,
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,1,0,0,0,0,
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,
Hungary,0,0,0,0,0,0,0,0,0,0,0,6.24,6.19,6.03,6.03,5.72,5.64,7.33,7.12,7.02,6.88,7.07,6.73,5.23
Iceland,0,0,0,0,0,0,0,0,0,0,0,2.8,2.49,9.3,4.03,9.26,8.38,9.33,6.03,5.33,4.57,8.03,3.09,3.44
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,0,0,0,
Ireland,0,0,0,0,0,0,0,0,0,0,0,6.69,6.5,7.37,6.72,7.1,6.47,5.59,4.49,3.78,4.47,4.04,4.11,3.77
Israel,0,0,0,0,0,0,0,0,0,0,0,7.34,7.18,5.99,6.16,5.23,6.68,5.79,4.77,5.44,4.94,4.38,4.59,
Italy,0,0,0,0,0,0,0,0,0,0,0,7.21,7.75,7.47,7.39,7.08,6.94,6.86,5.45,0,0,4.1,3.78,
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02,
Japan,0,0,0,0,0,0,0,0,0,0,3.99,3.74,3.76,3.51,3.4,3.33,3.11,2.9,2.47,2.38,2.2,1.93,1.71,1.38
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,
Kuwait,0,0,0,0,0,0,0,0,0,0,8.18,0,27.4,1.02,2.44,0.693,0,0,0,0,0,0,0,
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,4.48,7.47,7.82,7.9,7.3,4.63,9.62,10.7
Latvia,0,0,0,0,0,0,0,0,0,0,0,9.65,11.3,15.6,13.6,13,12.4,12.8,11.7,11.1,10.2,8.13,10,8.28
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,11.5,9.42,10.7,11.2,11.7,11,12.7,13.7,13.2,8.09
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,11.3,14.8,15.2,12.5,8.02,7.63,8.64,5.97,0,
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0.644,0.383,1.72,9.86,10.6,9.54,6.13,
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,0,0,
Malta,0,0,0,0,0,0,0,0,0,0,2.89,2.3,2.23,1.71,1.39,2.51,2.3,1.43,0.956,1.45,2.69,1.46,1.52,2.23
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0.119,0,0,0,0,0,2.99,
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,8.66,8.68,8.06,8.84,8.68,8.82,9.25,9.67,9.47,
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,
Moldova,0,0,0,0,0,0,0,0,0,0,0,3.77,3.93,4.29,4.36,2.62,2.57,3.31,3.38,3.82,5.01,3.25,4.51,5.53
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,
